Material,Inventory_On_Hand,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,Net_Need_2025-Oct,Ending_Inv_2025-Oct,Net_Need_2025-Nov,Ending_Inv_2025-Nov,Net_Need_2025-Dec,Ending_Inv_2025-Dec,Net_Need_2026-Jan,Ending_Inv_2026-Jan,Net_Need_2026-Feb,Ending_Inv_2026-Feb,Net_Need_2026-Mar,Ending_Inv_2026-Mar
ORDC1114,9757.0,2516,2410,2558,2109,2681,3423,0.0,7241.0,0.0,4831.0,0.0,2273.0,0.0,164.0,2517.0,0.0,3423.0,0.0
ORDC1368,284.0,10,11,12,12,12,12,0.0,274.0,0.0,263.0,0.0,251.0,0.0,239.0,0.0,227.0,0.0,215.0
ORDC1397,1419.0,40,40,40,40,40,40,0.0,1379.0,0.0,1339.0,0.0,1299.0,0.0,1259.0,0.0,1219.0,0.0,1179.0
ORDC1444,6574.0,1003,921,1096,648,1012,1203,0.0,5571.0,0.0,4650.0,0.0,3554.0,0.0,2906.0,0.0,1894.0,0.0,691.0
ORDC1698,7132.0,1121,1304,1128,930,645,1187,0.0,6011.0,0.0,4707.0,0.0,3579.0,0.0,2649.0,0.0,2004.0,0.0,817.0
ORDC1803,5419.0,545,545,545,545,545,545,0.0,4874.0,0.0,4329.0,0.0,3784.0,0.0,3239.0,0.0,2694.0,0.0,2149.0
ORDC1808,9790.0,2330,2124,2176,2055,1557,3364,0.0,7460.0,0.0,5336.0,0.0,3160.0,0.0,1105.0,452.0,0.0,3364.0,0.0
ORDC1826,1163.0,237,255,517,376,300,278,0.0,926.0,0.0,671.0,0.0,154.0,222.0,0.0,300.0,0.0,278.0,0.0
ORDC1965,8418.0,1221,1323,1455,1122,1103,1107,0.0,7197.0,0.0,5874.0,0.0,4419.0,0.0,3297.0,0.0,2194.0,0.0,1087.0
ORDC2076,13412.0,1859,3231,5265,2961,1681,2735,0.0,11553.0,0.0,8322.0,0.0,3057.0,0.0,96.0,1585.0,0.0,2735.0,0.0
ORDC2184,937.0,91,104,126,73,83,125,0.0,846.0,0.0,742.0,0.0,616.0,0.0,543.0,0.0,460.0,0.0,335.0
ORDC2379,141.0,8,12,10,13,10,11,0.0,133.0,0.0,121.0,0.0,111.0,0.0,98.0,0.0,88.0,0.0,77.0
ORDC2477,42.0,0,25,0,23,0,30,0.0,42.0,0.0,17.0,0.0,17.0,6.0,0.0,0.0,0.0,30.0,0.0
ORM2223,0.0,3166,2835,2803,1718,1839,2753,3166.0,0.0,2835.0,0.0,2803.0,0.0,1718.0,0.0,1839.0,0.0,2753.0,0.0
ORM2250,0.0,3138,2896,2774,2713,2682,2666,3138.0,0.0,2896.0,0.0,2774.0,0.0,2713.0,0.0,2682.0,0.0,2666.0,0.0
ORSM606,5171.0,1546,1367,1695,1200,1306,1876,0.0,3625.0,0.0,2258.0,0.0,563.0,637.0,0.0,1306.0,0.0,1876.0,0.0
ORSM618,24.0,5,8,6,8,2,9,0.0,19.0,0.0,11.0,0.0,5.0,3.0,0.0,2.0,0.0,9.0,0.0
ORSM667A,524.0,33,38,40,41,41,41,0.0,491.0,0.0,453.0,0.0,413.0,0.0,372.0,0.0,331.0,0.0,290.0
ORSM791,1941.0,112,97,166,88,163,264,0.0,1829.0,0.0,1732.0,0.0,1566.0,0.0,1478.0,0.0,1315.0,0.0,1051.0
ORSM833,1467.0,70,70,70,70,70,70,0.0,1397.0,0.0,1327.0,0.0,1257.0,0.0,1187.0,0.0,1117.0,0.0,1047.0
ORSM940,111.0,11,13,11,7,6,6,0.0,100.0,0.0,87.0,0.0,76.0,0.0,69.0,0.0,63.0,0.0,57.0
ORSM965,4426.0,846,628,684,498,540,942,0.0,3580.0,0.0,2952.0,0.0,2268.0,0.0,1770.0,0.0,1230.0,0.0,288.0
